id@title@content@regular price@height-product@load@rigidity-product@set-of-springs@size-product@image@categories
60@Villi (Вилли)@<div id="description" class="box js-box">  <p>LINEAFLEX предлагает серию детских матрасов.<br /><br />Вся продукция сертифицирована и соответствует всем санитарно-гигиеническим стандартам качества. &nbsp;</p>  <p>Великолепный анатомический матрас Villi на блоке независимых пружин. Хорошо адаптируется под тело Вашего ребенка, обеспечив физиологически правильное положение. Рекомендуется детям до 50 кг.</p>          </div><table border="0">  <tbody>  <tr>  <td>  <p><img src="http://www.lineaflex.ru/files/project_2016/nezav.png" alt="nezav" width="123" height="123" /></p>  </td>  <td>Блок независимых пружин гармонично взаимодействует с телом ребенка. Благодаря нежесткому соединению пружин, легко адаптируется под контуры тела, обеспечивая естественное положение позвоночника во время сна.&nbsp; Идеально подходит для соединения с наполнителями, хорошо проветривается. &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;</td>  </tr>  </tbody>  </table><table border="0" cellspacing="0" cellpadding="0">  <tbody>  <tr valign="top">  <td align="left" width="150"><img src="http://www.lineaflex.ru/files/project_2016/latex.png" alt="latex" width="123" height="123" /></td>  <td align="left">  <p>Матрас с наполнением из латекса &ndash; это отличный выбор для здорового сна.</p>  <p><span style="font-family: verdana, geneva; font-size: x-small;"><span style="font-family: arial,helvetica,sans-serif; font-size: small;"><span style="color: #000000;">Натуральный латекс производится из сока дерева Гевея. Является самым мягким и упругим материалом из всех наполнителей и создает наиболее комфортную поверхность для сна.&nbsp;</span>Долговечен, устойчив к деформации, не вызывает аллергии. </span><br /></span></p>  </td>  </tr>  </tbody>  </table><table border="0" cellspacing="0" cellpadding="0">  <tbody>  <tr valign="top">  <td align="left" width="260"><img src="http://www.lineaflex.ru/files/project_2016/trik.png" alt="trik" width="123" height="123" /><img src="http://www.lineaflex.ru/files/project_2016/t2.png" alt="t2" width="123" height="123" /></td>  <td align="left">Чехол выполнен из ткани с антибактериальной и антистатической обработкой. Эта технология исключает развитие грибков и различных микроорганизмов, препятствует распространению неприятных запахов. Наполнение для стежки 100% терморегулируемый холлофайбер, не вызывающий аллергию. Сочетание всех комплектующих позволяет поддерживать постоянную температуру во время сна, а удивительная мягкость делает его приятным при контакте с кожей человека.</td>  </tr>  </tbody>  </table>@@15@50 кг@средняя@"независимый"@@http://www.lineaflex.ru/files/project_2016/good/1352292434_1_mini5.jpg@catalog>mattresses-children>linea-bambina
60@Villi (Вилли)@@6826@@@@@60x120@@
60@Villi (Вилли)@@9101@@@@@60x160@@
60@Villi (Вилли)@@10807@@@@@60x190@@
60@Villi (Вилли)@@11091@@@@@60x195@@
60@Villi (Вилли)@@11376@@@@@60x200@@
60@Villi (Вилли)@@7963@@@@@70x120@@
60@Villi (Вилли)@@9290@@@@@70x140@@
60@Villi (Вилли)@@10618@@@@@70x160@@
60@Villi (Вилли)@@12608@@@@@70x190@@
60@Villi (Вилли)@@12940@@@@@70x195@@
60@Villi (Вилли)@@13272@@@@@70x200@@
60@Villi (Вилли)@@12134@@@@@80x160@@
60@Villi (Вилли)@@14409@@@@@80x195@@
60@Villi (Вилли)@@14789@@@@@80x190@@
60@Villi (Вилли)@@15168@@@@@80x200@@
60@Villi (Вилли)@@13651@@@@@90x160@@
60@Villi (Вилли)@@16211@@@@@90x190@@
60@Villi (Вилли)@@16637@@@@@90x195@@
60@Villi (Вилли)@@17064@@@@@90x200@@
60@Villi (Вилли)@@18201@@@@@120x160@@
60@Villi (Вилли)@@21614@@@@@120x190@@
60@Villi (Вилли)@@22183@@@@@120x195@@
60@Villi (Вилли)@@22752@@@@@120x200@@
60@Villi (Вилли)@@21235@@@@@140x160@@
60@Villi (Вилли)@@25217@@@@@140x190@@
60@Villi (Вилли)@@25880@@@@@140x195@@
60@Villi (Вилли)@@26544@@@@@140x200@@
